Entity,Code,Year,Wind (% equivalent primary energy)
Colombia,COL,2000,0
Colombia,COL,2001,0
Colombia,COL,2002,0
Colombia,COL,2003,0
Colombia,COL,2004,0.04610803
Colombia,COL,2005,0.043469526
Colombia,COL,2006,0.049196307
Colombia,COL,2007,0.03860293
Colombia,COL,2008,0.038356546
Colombia,COL,2009,0.04162591
Colombia,COL,2010,0.026306374
Colombia,COL,2011,0.027054999
Colombia,COL,2012,0.033437207
Colombia,COL,2013,0.034717783
Colombia,COL,2014,0.04004894
Colombia,COL,2015,0.03832935
Colombia,COL,2016,0.02700297
Colombia,COL,2017,0.0016016387
Colombia,COL,2018,0.022105752
Colombia,COL,2019,0.031140871
Colombia,COL,2020,0.0055207815
Colombia,COL,2021,0.02931148
